,Temp,Yield,Comp,Al,Cr,Mn,Fe,Co,Ni,Cu,Ta,Ti,V,Zr,Nb,Mo,Zn,W,Sn,Nd
160,850,290,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
161,850,230,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
162,850,150,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
163,900,260,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
164,900,160,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
165,900,110,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
166,950,140,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
167,950,110,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
168,950,80,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
169,1000,150,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
170,1000,90,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
171,1000,50,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
172,1598.55,0,C0.1Co45Cr25Fe15Ni15,0,0.25,0,0.15,0.45,0.15,0,0,0,0,0,0,0,0,0,0,0
173,25,1265,C0.1Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
174,1000,768,C0.1Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
175,1200,733,C0.1Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
176,1400,639,C0.1Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
177,3031.91,0,C0.1Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
178,25,1317,C0.25Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
179,1000,868,C0.25Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
180,1200,792,C0.25Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
181,1400,749,C0.25Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
182,3052.25,0,C0.25Hf0.25NbTaW0.5,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0.2,0,0
183,25,310,CoCrFeHf0.1Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
184,600,220,CoCrFeHf0.1Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
185,800,170,CoCrFeHf0.1Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
186,1633.34,0,CoCrFeHf0.1Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
187,25,450,CoCrFeHf0.2Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
188,600,360,CoCrFeHf0.2Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
189,800,260,CoCrFeHf0.2Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
190,1666.29,0,CoCrFeHf0.2Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
191,25,810,CoCrFeHf0.3Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
192,600,710,CoCrFeHf0.3Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
193,800,400,CoCrFeHf0.3Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
194,1697.7,0,CoCrFeHf0.3Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
195,25,1180,CoCrFeHf0.4Ni,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0
